titles,links,text,prices
"Nikon F3HP + Pancake 50mm F/1.8 AI-S, recent CLA",https://fotohandeldelfshaven.nl/product/nikon-f3hp-pancake-50mm-f-1-8-ai-s-recent-cla/,"
Nikon F3HP + Pancake 50mm F/1.8 AI-S, recent CLA

Price: €600,00The Nikon F3HP is the best of all worlds. One of the most popular 35mm SLR cameras of all time. It’s fitted with a built in lightmeter, selftimer, large viewfinder whilst still being very compact and made with good materials. The camera houses a freshly serviced shutter that has speeds  .....
Add to cartNikon F3HP + Pancake 50mm F/1.8 AI-S, recent CLAMaartenOctober 3, 2023October 3, 2023","Price: €600,00"
Contax G2 with 45mm F/2.8 Planar T* kit,https://fotohandeldelfshaven.nl/product/contax-g2-with-45mm-f-2-8-planar-t-kit/,"
Contax G2 with 45mm F/2.8 Planar T* kit

Price: €1.800,00The Contax G2 is a premium quality 35mm rangefinder styled camera. The camera offers loads of automation, a great built in lightmeter and fast and accurate autofocus. Truly one of a kind, there are no other cameras that compare with it. Whats makes the system extra special is the autofocus  .....
Add to cartContax G2 with 45mm F/2.8 Planar T* kitMaartenOctober 3, 2023October 3, 2023","Price: €1.800,00"
Konica UC Fish-eye Hexanon AR 15mm f/2.8,https://fotohandeldelfshaven.nl/product/konica-uc-fish-eye-hexanon-ar-15mm-f-2-8/,"
Konica UC Fish-eye Hexanon AR 15mm f/2.8

Price: €500,00The Konica 15mm f/2.8 UC fish-eye sure is one of the most uncommon Konica AR mount lenses not being offered for sale that often. This lens is in excellent condition with only light wear on the barrel, mostly seen on the edge of the lens hood. The focus is smooth  .....
Add to cartKonica UC Fish-eye Hexanon AR 15mm f/2.8MaartenOctober 3, 2023October 3, 2023","Price: €500,00"
"Nikon F Apollo chrome + Motordrive F-36, OUTLET",https://fotohandeldelfshaven.nl/product/nikon-f-apollo-chrome-motordrive-f-36-outlet/,"
Nikon F Apollo chrome + Motordrive F-36, OUTLET

Price: €350,00Nikon F chrome with metered prism finder and F-36 motordrive. Suited for repair projects or as display piece in current condition. Apollo version with late style advance crank. The shutter fires, but probably is in need for some calibration since its a bit irregular. The overal cosmetics of the kit  .....
Add to cartNikon F Apollo chrome + Motordrive F-36, OUTLETMaartenOctober 3, 2023October 3, 2023","Price: €350,00"
Nikon F4s body,https://fotohandeldelfshaven.nl/product/nikon-f4s-body/,"
Nikon F4s body

Price: €250,00The Nikon F4S consists of a F4 body with the MB-21 battery grip. The MB21 takes 6 AA batteries and also offers a vertical shutter button. This F4s is in a good cosmetical condition with just light wear to the body, just some marks on the mb-21 grip near the  .....
Add to cartNikon F4s bodyMaartenOctober 3, 2023October 3, 2023","Price: €250,00"
Jupiter-8 50mm F/2 LTM lens chrome,https://fotohandeldelfshaven.nl/product/jupiter-8-50mm-f-2-ltm-lens-chrome/,"
Jupiter-8 50mm F/2 LTM lens chrome

Price: €70,00USSR made 50mm F/2 lens for the Leica screw mount. Of course desgined for the Zorki models but since its rangefinder coupled will work great on Leica LTM or even M (with adapter) as well. One of the best standard lenses for a rangefinder if you are on a budget.  .....
Add to cartJupiter-8 50mm F/2 LTM lens chromeMaartenOctober 3, 2023October 3, 2023","Price: €70,00"
"Hasselblad B60 Orange contrast filter, cased",https://fotohandeldelfshaven.nl/product/hasselblad-b60-orange-contrast-filter-cased/,"
Hasselblad B60 Orange contrast filter, cased

Price:   SoldLike new condition orange contrast filter for B60 mount Carl Zeiss lenses within the Hasselblad V system. Both metal ring and glass look like they have only been used a few times, if at all. Must have accessory for black and white photographers. Comes in plastic filter case.
Read moreHasselblad B60 Orange contrast filter, casedMaartenOctober 3, 2023October 3, 2023",Price:   Sold
Leica Leitz Yellow Contrast filter for Summitar lens,https://fotohandeldelfshaven.nl/product/leica-leitz-yellow-contrast-filter-for-summitar-lens/,"
Leica Leitz Yellow Contrast filter for Summitar lens

Price: €33,00Medium contrast filter for black and white photography with the Leitz Summitar 50mm lens. This lens has its own filter size and filters can be a bit more hard to find. Nice condition of glass, perfectly usuable, chrome ring has some normal usermarks. Complete with original clear case for protection.
Add to cartLeica Leitz Yellow Contrast filter for Summitar lensMaartenOctober 3, 2023October 3, 2023","Price: €33,00"
Leica Leitz 13131 E39 UVa filter,https://fotohandeldelfshaven.nl/product/leica-leitz-13131-e39-uva-filter-2/,"
Leica Leitz 13131 E39 UVa filter

Price: €35,00Protective UV filter for Leica E39 lenses. Good optical condition, no big dents or scratches in the glass. Metal ring has good cosmetics.
Add to cartLeica Leitz 13131 E39 UVa filterMaartenOctober 3, 2023October 3, 2023","Price: €35,00"
Carl Zeiss Dialyt 10x40B boxed with green pouch,https://fotohandeldelfshaven.nl/product/carl-zeiss-dialyt-10x40b-boxed-with-green-pouch/,"
Carl Zeiss Dialyt 10x40B boxed with green pouch

Price: €250,00Nice Zeiss Dialyt 10x40B binocular in original foam box with a green pouch. Cosmetically in excellent condition with virtually no wear. Optics in very nice condition with only minimal internal dust but no haze, very clear image when looking through finder. Focus turns smooth and diopter adjstmet works fine. Also  .....
Add to cartCarl Zeiss Dialyt 10x40B boxed with green pouchMaartenOctober 3, 2023October 3, 2023","Price: €250,00"
Leica leather camera case for Early LTm camera kit,https://fotohandeldelfshaven.nl/product/leica-leather-camera-case-for-early-ltm-camera-kit/,"
Leica leather camera case for Early LTm camera kit

Price: €150,00Very early Leica pouch to fit Leica ! cameras. in well preserved condition with some regular sings of use. wear from aging. rare find
Add to cartLeica leather camera case for Early LTm camera kitMaartenOctober 3, 2023October 3, 2023","Price: €150,00"
FED Stereo,https://fotohandeldelfshaven.nl/product/fed-stereo/,"
FED Stereo

Price:   SoldSoviet made Fed Stereo camera. Appears to be in good condition though not tested for accuracy. The shutter fires and transports correctly. Smooth focus and good glass. Interesting special effect camera made in the former USSR. Comes with cap. flash cover. a nice bag with strap and lens hoods
Read moreFED StereoMaartenOctober 3, 2023October 4, 2023",Price:   Sold
Contax 72mm multicoated UV filter (L39),https://fotohandeldelfshaven.nl/product/contax-72mm-multicoated-uv-filter-l39/,"
Contax 72mm multicoated UV filter (L39)

Price: €22,00Original Contax UV filter in 72mm screw in size. Not only cuts down on UV light but of course also protects the front element of your expensive Contax lens. Great cosmetic and optical condition, no damages or marks.
Add to cartContax 72mm multicoated UV filter (L39)MaartenOctober 3, 2023October 3, 2023","Price: €22,00"
Leica LTM to M adapter for 35 and 135mm framelines,https://fotohandeldelfshaven.nl/product/leica-ltm-to-m-adapter-for-35-and-135mm-framelines/,"
Leica LTM to M adapter for 35 and 135mm framelines

Price: €80,00Original Leica LTM lens to Leica M camera adapter. This adapter will load 35 and 135mm framelines inside the finder. Good condition, normal signs of use.
Add to cartLeica LTM to M adapter for 35 and 135mm framelinesMaartenOctober 3, 2023October 3, 2023","Price: €80,00"
Leica FIKUS collapsible lenshood,https://fotohandeldelfshaven.nl/product/leica-fikus-collapsible-lenshood/,"
Leica FIKUS collapsible lenshood

Price: €30,00Leica lenshood that can be zoomed in or out based on the lens you would like to use it on. Suited for M mount Elmar 50, 90mm and 135mm lenses. Lock works as intended. Small dent, some obvious paint wear and patina going on.
Add to cartLeica FIKUS collapsible lenshoodMaartenOctober 3, 2023October 3, 2023","Price: €30,00"
Early black 4×4 baby Rolleiflex 2.8,https://fotohandeldelfshaven.nl/product/early-black-4x4-baby-rolleiflex-2-8/,"
Early black 4×4 baby Rolleiflex 2.8

Price: €400,00An early model Baby Rolleiflex 4×4 with the 6cm f/2.8 Tessar lens and the compur rapid shutter that goes up to 1/500. The camera is in a good cosmetical condition for it’s antique age. Some general wear on mostly the finder hood. Exposure information on the back is in french.  .....
Add to cartEarly black 4×4 baby Rolleiflex 2.8MaartenOctober 3, 2023October 3, 2023","Price: €400,00"
Rolleiflex pistol grip for 6000 series,https://fotohandeldelfshaven.nl/product/rolleiflex-pistol-grip-for-6000-series/,"
Rolleiflex pistol grip for 6000 series

Price: €80,00This pistol grip is the perfect match for your Rolleiflex 6000 series camera. It is a pleasure to use combined with the prism finder. This version pistol grip comes with the electronic connetcor. Comes in good condition. general wear from previous use
Add to cartRolleiflex pistol grip for 6000 seriesMaartenOctober 3, 2023October 3, 2023","Price: €80,00"
Walz lens hood for Nikkor 1.4 / 50mm rangefinder lens,https://fotohandeldelfshaven.nl/product/walz-lens-hood-for-nikkor-1-4-50mm-rangefinder-lens/,"
Walz lens hood for Nikkor 1.4 / 50mm rangefinder lens

Price:   SoldThis lens hood has been made by Walz for the Nikon Nikkor 1:1.4 / 50mm rangefindr lens. Nice vented lens cap. good alternative for the otherwise very rare hood. Good cosmetics. clean and perfectly round
Read moreWalz lens hood for Nikkor 1.4 / 50mm rangefinder lensMaartenOctober 3, 2023October 3, 2023",Price:   Sold
"Bronica extension tube E-42 for ETR, ETRS, ETRSi, etc.",https://fotohandeldelfshaven.nl/product/bronica-extension-tube-e-42-for-etr-etrs-etrsi-etc/,"
Bronica extension tube E-42 for ETR, ETRS, ETRSi, etc.

Price: €33,00A 42mm extension tube for use with the Bronica ETR series of cameras. Gives you more close up capabilities with the camera for more magnification when shooting macro.
Add to cartBronica extension tube E-42 for ETR, ETRS, ETRSi, etc.MaartenOctober 3, 2023October 3, 2023","Price: €33,00"
Canon new FD 28mm f/2.8,https://fotohandeldelfshaven.nl/product/canon-new-fd-28mm-f-2-8/,"
Canon new FD 28mm f/2.8

Price: €100,00new FD mount version of the Canon FD 28mm f/2.8. Very pretty cosmetics and all excellent. Good focus and aperture. Glass looks perfect. A great lens for your FD setup if you’re looking for something to complement your 50mm.
Add to cartCanon new FD 28mm f/2.8MaartenOctober 3, 2023October 3, 2023","Price: €100,00"
Mamiya RB67 Dark slide,https://fotohandeldelfshaven.nl/product/mamiya-rb67-dark-slide/,"
Mamiya RB67 Dark slide

Price: €25,00Original Mamiya RB67 darkslide for 120 and 220 filmbacks. Obvious signs of previous use but still does the job fine.
Add to cartMamiya RB67 Dark slideMaartenOctober 3, 2023October 3, 2023","Price: €25,00"
Leica Leitz SBOOI optical viewfinder for 5cm / 50mm lenses,https://fotohandeldelfshaven.nl/product/leica-leitz-sbooi-optical-viewfinder-for-5cm-50mm-lenses/,"
Leica Leitz SBOOI optical viewfinder for 5cm / 50mm lenses

Price: €180,00Original Leitz optical viewfinder for use with 50mm lenses. Beautiful compact and sturdy little finder. All metal housing and good glass inside, bright lines for easy composing. Some age related marks on top of the finder, but glass is perfect.
Add to cartLeica Leitz SBOOI optical viewfinder for 5cm / 50mm lensesMaartenOctober 3, 2023October 3, 2023","Price: €180,00"
"Pentax M42 lens to PK mount adapter, genuine",https://fotohandeldelfshaven.nl/product/pentax-m42-lens-to-pk-mount-adapter-genuine-3/,"
Pentax M42 lens to PK mount adapter, genuine

Price: €25,00Original pentax adapter ring that allows you to mount an M42 screw mount lens to a Pentax PK camera. Perfect condition, looks like new.
Add to cartPentax M42 lens to PK mount adapter, genuineMaartenOctober 3, 2023October 3, 2023","Price: €25,00"
Rolleiflex accesory kit for Bay. 1 and a leather strap,https://fotohandeldelfshaven.nl/product/rolleiflex-accesory-kit-for-bay-1-and-a-leather-strap/,"
Rolleiflex accesory kit for Bay. 1 and a leather strap

Price: €100,00Nice complete lot of Rolleiflex accessories for your TLR that uses Bay. 1 filter and accessory mount. Includes: Rollei Yellow filter, Rollei Deep red filter, Hoya B30 Pol filter, Rollei green filter, Rolleinar 2 close up kit, Bay 1. square metal lenshood. All in their original leather cases so they  .....
Add to cartRolleiflex accesory kit for Bay. 1 and a leather strapMaartenOctober 3, 2023October 3, 2023","Price: €100,00"
Canon AE-1 + nFD 50mm f/1.8 kit,https://fotohandeldelfshaven.nl/product/canon-ae-1-nfd-50mm-f-1-8-kit/,"
Canon AE-1 + nFD 50mm f/1.8 kit

Price:   SoldThe Canon AE-1 was a very succesfull camera for Canon selling over 2 million units in it’s lifespan. It uses 35mm film and offers both shutter priority and manual modes. This example was Technician checked on our shutter speed tester and found to be accurate on all speeds. The lightmeter  .....
Read moreCanon AE-1 + nFD 50mm f/1.8 kitMaartenOctober 3, 2023October 4, 2023",Price:   Sold
"Nikon Nikkor 35mm F/1.4 AI lens, worn",https://fotohandeldelfshaven.nl/product/nikon-nikkor-35mm-f-1-4-ai-lens-worn/,"
Nikon Nikkor 35mm F/1.4 AI lens, worn

Price:   SoldAI version of the Nikkor 35mm f/1.4. This lens has a worn appearance with many usage marks on the barrel. Paint loss on focusing ring and aperture ring. Focus is a bit on the heavy side without play or unevenness. Aperture working correctly. Optics are in good condition but with  .....
Read moreNikon Nikkor 35mm F/1.4 AI lens, wornMaartenOctober 3, 2023October 3, 2023",Price:   Sold
"Taylor Hobson Telekinic f/3.3 / 3 3/4inch, lens head",https://fotohandeldelfshaven.nl/product/taylor-hobson-telekinic-f-3-3-3-3-4inch-lens-head/,"
Taylor Hobson Telekinic f/3.3 / 3 3/4inch, lens head

Price: €240,00Hard to find Cooke lens head. This Telekinic was originally made for 16mm movie format but here comes as a lens head only. The aperture is still inside but the control ring is missing. This is a perfect candidate for remounting or rehousing. But it needs a proper clean inside  .....
Add to cartTaylor Hobson Telekinic f/3.3 / 3 3/4inch, lens headMaartenOctober 3, 2023October 3, 2023","Price: €240,00"
Sankyo Koki W-Komura 35mm f/3.5 LTM lens + finder,https://fotohandeldelfshaven.nl/product/sankyo-koki-w-komura-35mm-f-3-5-ltm-lens-finder/,"
Sankyo Koki W-Komura 35mm f/3.5 LTM lens + finder

Price: €300,00Komura lenses are pretty uncommon in LTM, having made third party lenses for all sorts of mounts. This 35mm f/3.5 is a nice small and heavy quality metal barrel and also comes with the original komura leather storage case and optical viewfinder. Focus is a bit on the heavy side  .....
Add to cartSankyo Koki W-Komura 35mm f/3.5 LTM lens + finderMaartenOctober 3, 2023October 3, 2023","Price: €300,00"
Contax C/Y fit Sigma 90mm f/2.8 Macro lens OUTLET,https://fotohandeldelfshaven.nl/product/contax-c-y-fit-sigma-90mm-f-2-8-macro-lens-outlet/,"
Contax C/Y fit Sigma 90mm f/2.8 Macro lens OUTLET

Price: €80,00This is a Contax Yashica Mount Sigma 90mm f/2.8 Macro with some remarks and is therefore sold as a outlet item. The Lens has some internal dirtyness on one element, looks like oil deposit from the aperture blades. It might effect the image as well. Focus is smooth and aperture  .....
Add to cartContax C/Y fit Sigma 90mm f/2.8 Macro lens OUTLETMaartenOctober 3, 2023October 3, 2023","Price: €80,00"
Pentax SMC 135mm F/4 macro for 6×7,https://fotohandeldelfshaven.nl/product/pentax-smc-135mm-f-4-macro-for-6x7/,"
Pentax SMC 135mm F/4 macro for 6×7

Price: €200,00Beautiful condition 135mm F/4 macro lens for the pentax 6×7 system. This lens just focuses like a charm, its nice and smooth but not too loose. Great for digitzing negatives and of course traditional macro work. Super clean glass, a tiny dust spec here and there but the glass is  .....
Add to cartPentax SMC 135mm F/4 macro for 6×7MaartenOctober 3, 2023October 3, 2023","Price: €200,00"
Pentax SMC 45mm F/4 lens for 67,https://fotohandeldelfshaven.nl/product/pentax-smc-45mm-f-4-lens-for-67/,"
Pentax SMC 45mm F/4 lens for 67

Price: €250,00Wide angle lens for Pentax 6×7 system. SMC version with 82mm front filter thread. When translated to 35mm film format this lens gives the field of view of around a 24mm, so very very wide on the 6×7, actually the widest you can get before switching over to fisheye perspective.  .....
Add to cartPentax SMC 45mm F/4 lens for 67MaartenOctober 3, 2023October 3, 2023","Price: €250,00"
Ilford Advocate + Dallmeyer 35mm f/4.5,https://fotohandeldelfshaven.nl/product/ilford-advocate-dallmeyer-35mm-f-4-5/,"
Ilford Advocate + Dallmeyer 35mm f/4.5

Price: €250,00The Ilford Advocate is a fully white camera made out of enameled cast iron that uses 35mm film. It features a Dallmeyer 35mm f/4.5 Anastigmat lens in a pretty simple shutter with Speeds from 25 until 200 and B speed. The camera currently does not seem to want to shoot  .....
Add to cartIlford Advocate + Dallmeyer 35mm f/4.5MaartenOctober 3, 2023October 3, 2023","Price: €250,00"
Leica Leitz Vario-Elmar-R 70-210mm F/4 E60 3-cam,https://fotohandeldelfshaven.nl/product/leica-leitz-vario-elmar-r-70-210mm-f-4-e60-3-cam/,"
Leica Leitz Vario-Elmar-R 70-210mm F/4 E60 3-cam

Price: €150,00A constant F4 zoom for the Leica R system made in collaboration with Minolta. The lens is a push-pull zoom with a built-in lens hood and takes 60mm filters. Cosmetically in excellent condition with light signs of use on mostly the lens hood. The focus and zoom action both are  .....
Add to cartLeica Leitz Vario-Elmar-R 70-210mm F/4 E60 3-camMaartenOctober 3, 2023October 3, 2023","Price: €150,00"
"Leicaflex SL MOT black + Motordrive, boxed",https://fotohandeldelfshaven.nl/product/leicaflex-sl-mot-black-motordrive-boxed/,"
Leicaflex SL MOT black + Motordrive, boxed

Price: €650,00Black Leicaflex SL MOT version in a good user and collectors condition. The camera was checked by our junior technician Levi and the shutterspeeds were found to be well within their margins. The viewfinder is very bright and very clean, no desilvering and no scratches and dust. The lightmeter of  .....
Add to cartLeicaflex SL MOT black + Motordrive, boxedMaartenOctober 3, 2023October 3, 2023","Price: €650,00"
Rolleicord Va w/ Schneider Xenar 75mm f/3.5 OUTLET,https://fotohandeldelfshaven.nl/product/rolleicord-va-w-schneider-xenar-75mm-f-3-5-outlet/,"
Rolleicord Va w/ Schneider Xenar 75mm f/3.5 OUTLET

Price:   SoldRolleicord Va with a Schneider Xenar 75mm f/3.5 lens. This is the second to last version Rollei made of the rolleicord camera line. This model has a fixed finder but swapped the focus knob over to the left side as they did with the Rolleiflexes and made it a little  .....
Read moreRolleicord Va w/ Schneider Xenar 75mm f/3.5 OUTLETMaartenOctober 3, 2023October 3, 2023",Price:   Sold
"Nikon Nikkor 35mm F/1.4 AI lens, OUTLET",https://fotohandeldelfshaven.nl/product/nikon-nikkor-35mm-f-1-4-ai-lens-outlet/,"
Nikon Nikkor 35mm F/1.4 AI lens, OUTLET

Price: €150,00Nikon 35mm F/1.4 AI lens with issues hence sold as an outlet item. Main issue being the aperture is stuck wide open, you can not change it and only shoot this at F/1.4 for now. Needs repair, seems to have had an failed attempt already, there are some signs of  .....
Add to cartNikon Nikkor 35mm F/1.4 AI lens, OUTLETMaartenOctober 3, 2023October 3, 2023","Price: €150,00"
Schneider Symmar-S 210mm f/5.6 MC Copal 1 shutter Outlet,https://fotohandeldelfshaven.nl/product/schneider-symmar-s-210mm-f-5-6-mc-copal-1-shutter-outlet/,"
Schneider Symmar-S 210mm f/5.6 MC Copal 1 shutter Outlet

Price: €200,00This 210mm Schneider Symmar-S is a Multicoated example of this lens in a Copal 1 shutter. The shutter will need a service so therefore sold as a outlet priced accordingly. Cosmetically the lens is in tidy condition with no dents and just a little bit of fading on the letters  .....
Add to cartSchneider Symmar-S 210mm f/5.6 MC Copal 1 shutter OutletMaartenOctober 3, 2023October 3, 2023","Price: €200,00"
